Name,City,Longitude,Latitude,ID,Avatar
AlleyCat,San Francisco,-122.413649,37.775641,ci4tmxpz8000002w7au38un50,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/localdata.png
DataDonut,San Francisco,-122.403045,37.804427,ci4yf50s5000c03zzt4h2tnsq,
grapealope,San Francisco,-122.423758,37.747894,ci4ut5zu5000402s7g6nihdn0,
james,Shanghai,121.50631,31.282182,ci5c3vgzv000003v4deetujpe,
penguin,Shanghai,121.441373,31.028852,ci4vk908n000h02s7pqy6aud3,
WGQ,Shanghai,121.6289675,31.2984302,ci4w9izto000302tcgj9hmy9m,
frogsh,Shanghai,121.443609,31.233924,ci4wmzegn000702tcc6dn993o,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/frogsh.jpg
fraserxu,Shanghai,121.435432,31.226463,ci4s0caqw000002wey2s695ph,
SASPudong,Shanghai,121.7588735,31.2327278,ci4xdbcwd000o02tcoi729rb7,
transistor,Shanghai,121.493988,31.210459,ci4xrkkxy000203zz2qz5x2qt,
JiadingSensor,Shanghai,121.2513265,31.3262905,ci4z8a9d10001032zk4mh5qow,
xinchejian,Shanghai,121.448771,31.225905,ci521nmr600020347n4s107yh,
Simon's All Knowing Box,Shanghai,121.435574,31.203442,ci525hppb00030347n3qo265c,
TheMarms,Shanghai,121.370579,31.196056,ci527ripa000403471yii8wim,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/swissnex.png
chinotto,Shanghai,121.4580891,31.2353115,ci4yd6rfl000a03zzycxw5inl,
killingjackysbox,ShenZhen,-122.230081,37.790237,ci53h7ry60000032pfrgyjdug,
SECSensor,Singapore,103.737863,1.335005,ci4v5vrcu000602s7g2cur4b2,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/SECSensor.png
HackerspaceSGSeeed,Singapore,103.862409,1.31042,ci4y9ght2000803zzrj61j1nl,
Durianz,Singapore,103.751746,1.374852,ci599v4yf000003z5b4ovspob,
sg_hougang_61,Singapore,103.88545,1.375776,ci4v67rh8000902s7vcxxq6wt,
The ThunderBolt,Singapore,103.912091,1.328281,ci4y4ohu3000703zzy0fxkd5n,
NorthStarOne,Singapore,103.798312,1.438973,ci4vejnju000b02s70yzzonp9,
Aislinnn,Singapore,103.814735,1.283259,ci5lssf4x000003x8j2karv47,
ghimmohyandao,Singapore,103.784951,1.308855,ci4wyckhv000f02tcyojovuvr,
mm@alexandra,Singapore,103.803632,1.288705,ci4wq5cf6000a02tci6u38edj,
Gecko,Singapore,103.783868,1.28145,ci52039km00010347y1k3z1u4,
swissnexSG,Singapore,103.792581,1.302858,ci4wg4xti000502tccs34dvk4,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/swissnex.png
HPSG730864,Singapore,103.794999,1.440834,ci4w8gd6f000102tcnp415mz5,
reversehaven,Singapore,103.749155,1.396564,ci516u6u8000203wht0ml6o9c,
rpbaltazar@bukit-timah,Singapore,103.812228,1.326082,ci4v5wwl4000702s7t1u7rz4a,
