"Date","Main Pollutant","Site Name","Site ID","Ozone AQI Value"
"10/24/2014","","Livermore - Rincon","06-001-0007","33"
"10/25/2014","","Bethel Island","06-013-1002","33"
"10/26/2014","","Livermore - Rincon","06-001-0007","32"
"10/27/2014","","Bethel Island","06-013-1002","30"
"10/28/2014","","Concord","06-013-0002","29"
"10/29/2014","","Bethel Island","06-013-1002","37"
"10/30/2014","","Redwood City","06-081-1001","32"
"10/31/2014","","Hayward - La Mesa","06-001-2001","28"
"11/01/2014","","Livermore - Rincon","06-001-0007","31"
"11/02/2014","","Bethel Island","06-013-1002","28"
"11/03/2014","","Hayward - La Mesa","06-001-2001","27"
"11/04/2014","","Hayward - La Mesa","06-001-2001","32"
"11/05/2014","","Hayward - La Mesa","06-001-2001","34"
"11/06/2014","","Concord","06-013-0002","36"
"11/07/2014","","Livermore - Rincon","06-001-0007","36"
"11/08/2014","","Livermore - Rincon","06-001-0007","40"
"11/09/2014","","Hayward - La Mesa","06-001-2001","40"
"11/10/2014","","San Ramon","06-013-2007","31"
"11/11/2014","","Hayward - La Mesa","06-001-2001","34"
"11/12/2014","","Livermore - Rincon","06-001-0007","36"
"11/13/2014","","Hayward - La Mesa","06-001-2001","26"
"11/14/2014","","Hayward - La Mesa","06-001-2001","30"
"11/15/2014","","Redwood City","06-081-1001","28"
"11/16/2014","","Hayward - La Mesa","06-001-2001","33"
"11/17/2014","","Hayward - La Mesa","06-001-2001","31"
"11/18/2014","","Hayward - La Mesa","06-001-2001","29"
"11/19/2014","","Hayward - La Mesa","06-001-2001","32"
"11/20/2014","","Hayward - La Mesa","06-001-2001","32"
"11/21/2014","","San Rafael","06-041-0001","26"
"11/22/2014","","Redwood City","06-081-1001","29"
"11/23/2014","","Hayward - La Mesa","06-001-2001","29"
"11/24/2014","","Hayward - La Mesa","06-001-2001","29"
"11/25/2014","","Hayward - La Mesa","06-001-2001","26"
"11/26/2014","","San Pablo - Rumrill","06-013-1004","22"
"11/27/2014","","Bethel Island","06-013-1002","25"
"11/28/2014","","Hayward - La Mesa","06-001-2001","29"
"11/29/2014","","Hayward - La Mesa","06-001-2001","26"
"11/30/2014","","Hayward - La Mesa","06-001-2001","27"
"12/01/2014","","Concord","06-013-0002","19"
"12/02/2014","","San Rafael","06-041-0001","22"
"12/03/2014","","San Rafael","06-041-0001","33"
"12/04/2014","","Concord","06-013-0002","30"
"12/05/2014","","San Rafael","06-041-0001","30"
"12/06/2014","","Concord","06-013-0002","27"
"12/07/2014","","San Rafael","06-041-0001","19"
"12/08/2014","","Livermore - Rincon","06-001-0007","14"
"12/09/2014","","Bethel Island","06-013-1002","9"
"12/10/2014","","Livermore - Rincon","06-001-0007","26"
"12/11/2014","","Bethel Island","06-013-1002","36"
"12/12/2014","","Bethel Island","06-013-1002","32"
"12/13/2014","","Bethel Island","06-013-1002","25"
"12/14/2014","","Redwood City","06-081-1001","22"
"12/15/2014","","San Francisco - Arkansas St.","06-075-0005","22"
"12/16/2014","","Concord","06-013-0002","29"
"12/17/2014","","Oakland West","06-001-0011","28"
"12/18/2014","","Oakland West","06-001-0011","25"
"12/19/2014","","Concord","06-013-0002","29"
"12/20/2014","","San Rafael","06-041-0001","26"
"12/21/2014","","San Francisco - Arkansas St.","06-075-0005","23"
"12/22/2014","","Bethel Island","06-013-1002","16"
"12/23/2014","","Livermore - Rincon","06-001-0007","17"
"12/24/2014","","San Pablo - Rumrill","06-013-1004","32"
"12/25/2014","","Bethel Island","06-013-1002","31"
"12/26/2014","","Concord","06-013-0002","29"
"12/27/2014","","San Pablo - Rumrill","06-013-1004","21"
"12/28/2014","","Bethel Island","06-013-1002","25"
"12/29/2014","","San Francisco - Arkansas St.","06-075-0005","26"
"12/30/2014","","Oakland West","06-001-0011","29"
"12/31/2014","","San Rafael","06-041-0001","30"
